site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
228,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,,,,,,,,,,,,,,,,,,
231,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
233,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,
234,54,0,0,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,
235,38,0,0,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,12,,,,,,,,,,,,,,,,,,
238,51,3,0,0,0,7,0,3,1,11,0,0,0,11,0,0,9,0,11,3,1,2,3,1,25,1,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
241,29,0,9,6,0,0,0,0,0,0,0,0,0,14,0,0,5,12,0,0,0,0,3,3,0,0,0,9,3,238,1,28,0,4,0,3,0,0,0,,,,,,,,,,,,,
244,30,0,10,0,0,3,0,0,4,0,0,6,0,9,9,0,0,0,0,1,6,0,0,0,3,0,3,0,0,0,6,0,1,0,2,0,0,5,0,0,0,0,0,0,0,2,1,0,3,0,0,0
248,46,0,0,0,0,2,0,0,2,18,4,1,0,2,17,5,7,0,0,0,0,0,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
249,18,0,1,0,4,3,0,0,0,0,1,0,0,6,0,0,0,6,0,3,0,0,1,0,3,0,0,15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
250,24,0,0,2,5,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
251,23,0,0,11,6,17,120,3,6,0,18,14,0,0,18,0,3,0,5,0,0,5,5,0,0,6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
254,25,0,6,3,64,0,0,19,0,0,8,0,0,0,9,0,7,0,3,6,3,11,0,0,7,32,0,0,2,0,0,3,0,,,,,,,,,,,,,,,,,,,
256,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,,,,,,,,
266,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,7,0,2,0,3,0,0,0,4,3,0,,,,,,,,,,,,
