site,cam_number,cam_moved,sampling_period_length,canopy_cov,biotic_com_2,veg_cover_cam,veg_cover_cam_under_1m,veg_cover,veg_cover_diff,obs_dist,detection_angle,max_trig_dist,vertical_cover,tree_density_5_70,shrub_yucca_density,herbaceous_cov,pred_count_avg,coy_count_avg,bobcat_count_avg,livestock_count_avg,cow_count_avg,sheep_count_avg,lagomorph_count_avg,rodent_count_avg,cottontail_count_avg,jackrabbit_count_avg,prey_count_avg,elevation,slope,topo_pos,heat_load,aspect,dist_water_tank,water_tank_density_0_9km,water_tank_density_1_3km,water_tank_density_1_5_km,water_tank_density_1_6_km,water_tank_density_1_9_km,water_tank_density_2_4_km,water_tank_density_3_7_km,small_rd_dist,turbine_rd_dist,turbine_rd_density_0_1km,turbine_rd_density_0_9km,turbine_rd_density_1_3km,turbine_rd_density_1_5km,turbine_rd_density_1_6km,turbine_rd_density_1_9km,turbine_rd_density_2_4km,turbine_rd_density_3_7km,turbine_density_0_9km,turbine_density_1_3km,turbine_density_1_5km,turbine_density_1_6km,turbine_density_1_9km,turbine_density_2_4km,turbine_density_3_7km,turbine_dist,50cm_turbine_vis,150cm_turbine_vis,turbine_interior,woodland_percent_0_1km,woodland_percent_0_9km,woodland_percent_1_3km,woodland_percent_1_5km,woodland_percent_1_6km,woodland_percent_1_9km,woodland_percent_2_4km,woodland_percent_3_7km,NDVI_0_1km,NDVI_0_9km,NDVI_1_3km,NDVI_1_5km,NDVI_1_6km,NDVI_1_9km,NDVI_2_4km,NDVI_3_7km
82,9,yes,38,0,1,0.075,0.15,0.3,-0.4,194.6666667,56,20,9.25,0,1458.333333,0.21875,0.473684211,0.473684211,0,67.94736842,67.94736842,0,4.052631579,0,0.026315789,4.052631579,4.052631579,1829.7251,2.1068709,-2.243286133,0.986643861,0.824227503,1363.204305,0,0,0.141442716,0.124378109,0.352733686,0.386740331,0.279004883,54.45934673,1996.233729,0,0,0,0,0,0,0.047375595,0.094236766,0,0,0,0,0,0,0.069751221,2979.632779,17,24,0,0,0,0,0,0,0,0,0,0.094,0.096,0.096,0.096,0.096,0.096,0.097,0.098
84,67,yes,37,0,1,0,0,0.025,-0.05,125.6666667,50,30,2.875,0,34.72222222,0.171875,0.810810811,0.810810811,0,141.3243243,141.3243243,0,3.837837838,6.540540541,1.162162162,2.621621622,10.37837838,1856.1334,0.86079156,-0.84753418,0.997405255,0.831509557,1354.028508,0,0,0.141442716,0.124378109,0.176366843,0.110497238,0.116252034,521.5858482,2063.804104,0,0,0,0,0,0,0.101413181,0.230946251,0,0,0,0,0,0.165745856,0.348756103,2094.919219,37,86,0,0,0,0,0,0,0,0,0.03,0.101,0.1,0.1,0.099,0.099,0.099,0.099,0.099
85,64,yes,37,0,1,0.075,0.15,0.05,-0.1,212.3333333,48,10,5.75,0,0,0.135416667,0,0,0,44.86486486,44.86486486,0,0.540540541,0,0,0.486486486,0.540540541,1860.1049,0.72420585,5.004638672,1.000488449,0.60684909,846.4026397,0.393700787,0.376647834,0.282885431,0.248756219,0.176366843,0.220994475,0.279004883,213.1848412,2411.72003,0,0,0,0,0,0,0,0.088998063,0,0,0,0,0,0,0.139502441,2441.983056,135,137,0,0,0,0,0,0,0,0,0,0.093,0.095,0.095,0.096,0.096,0.096,0.097,0.098
86,20,yes,35,0,1,0.1,0.2,0.1375,-0.275,109.3333333,42,20,7.875,0,55.55555556,0.317708333,0.085714286,0.085714286,0,129.9714286,106.4285714,23.54285714,0.342857143,0,0,0.342857143,0.342857143,1818.5133,0.37215886,-3.18359375,1.007723868,0.270393797,903.1910363,0,0.188323917,0.282885431,0.497512438,0.352733686,0.331491713,0.395256917,246.5772198,2399.045307,0,0,0,0,0,0,1.7467E-05,0.031258371,0,0,0,0,0,0,0,4211.856059,30,47,0,0,0,0,0,0,0,0,0,0.098,0.098,0.097,0.097,0.097,0.097,0.097,0.097
87,22,no,35,0,1,0.225,0.45,0.15,-0.3,202.3333333,44,20,2.875,0,0,0.265625,0,0,0,14.28571429,4.857142857,8.914285714,1.142857143,0,0,1.142857143,1.142857143,1842.2687,1.1362166,1.317749023,0.996160652,0.995790114,1315.585124,0,0,0.707213579,0.621890547,0.440917108,0.44198895,0.302255289,421.2020641,1483.675169,0,0,0,0.002537017,0.016388797,0.041745753,0.059424106,0.059790718,0,0,0,0,0,0,0,4408.764803,20,94,0,0,0,0,0,0,0,0,0,0.093,0.095,0.095,0.096,0.096,0.096,0.096,0.097
90,57,no,39,7.592,1,0.55,0.55,0.55,-0.1,12,38,15,3.25,388.8888889,479.1666667,0.116319444,0.128205128,0.128205128,0,0,0,0,0,0,0,0,0,1939.7847,5.2509508,-29.02111816,1.023671687,2.70E-05,1748.290232,0,0,0,0,0.088183422,0.110497238,0.093001628,214.015701,1086.224635,0,0,0.245096167,0.414231318,0.445426356,0.607493791,0.628557947,0.827379408,0,0,0,0,0,0,0.046500814,3300.409311,0,0,0,20.59,33.89,34.36,35.56,36.82,38.36,40.59,37.47,0.127,0.129,0.127,0.127,0.126,0.126,0.126,0.123
91,63,no,39,2.548,1,0.175,0,0.2,-0.2,24.66666667,36,15,2,118.0555556,69.44444444,0.180555556,0.051282051,0.051282051,0,31.56410256,31.56410256,0,0.974358974,0,0,0.974358974,0.974358974,2065.5842,1.0722708,6.459960938,0.997475053,0.975396921,1880.237119,0,0,0,0,0.088183422,0.055248619,0.046500814,292.1456746,207.0152804,0,1.064955976,0.78220247,0.818897195,0.794740367,0.749217748,0.632918788,0.571136659,0,0,0,0,0,0,0.069751221,2891.126632,16,39,0,0,37.72,42.76,41.15,41.76,45.75,47.56,44.11,0.115,0.124,0.126,0.126,0.126,0.126,0.127,0.125
93,13,no,46,0.208,1,0.175,0.35,0.25,-0.35,187,43,10,5.75,55.55555556,256.9444444,0.107638889,0.173913043,0.173913043,0,0,0,0,0,0,0,0,0,1940.7627,5.5430193,-10.18920898,1.036584092,0.212399843,1391.762115,0,0,0.141442716,0.124378109,0.088183422,0.055248619,0.186003255,270.4457687,357.9235846,0,0.979477071,0.790983785,0.949328312,0.955868499,1.027102763,0.884650539,0.79079047,0,0,0,0,0,0,0,4754.689707,0,0,0,42.86,20.44,23.63,26.72,27.33,28.06,29.71,29.74,0.107,0.118,0.12,0.121,0.121,0.121,0.122,0.122
94,41,no,40,12.064,1,0.725,0.7,0.25,-0.15,9,46,10,4,48.61111111,118.0555556,0.078125,0.05,0.05,0,0,0,0,0.125,0.225,0,0.125,0.35,1906.2908,1.7170206,-24.36450195,0.99624006,0.999951347,1624.461174,0,0,0,0,0.176366843,0.165745856,0.186003255,990.6635951,37.01204088,5.98756345,0.717637631,1.072078768,1.3538481,1.313621202,1.253187194,1.117504932,0.759952874,0,0,0,0,0,0,0,3749.231388,0,0,0,9.09,16.63,13.22,12.78,13.1,14.24,15.14,16.54,0.129,0.12,0.119,0.119,0.12,0.12,0.12,0.119
95,43,no,40,38.948,2,0.65,0.55,0.8375,0.075,16.33333333,31,10,7.375,1159.722222,41.66666667,0.039930556,0.275,0.275,0,0,0,0,1.875,0,0.275,1.6,1.875,1889.7595,0.26955035,0.948608398,1.008240877,0.97005569,1381.647267,0,0,0.141442716,0.124378109,0.176366843,0.110497238,0.325505696,741.3221295,355.835135,0,1.237333233,1.097441942,0.975010654,0.913716476,0.907711031,0.864349597,0.786147083,0,0,0,0,0,0,0.069751221,2086.258722,0,0,0,85.71,21.07,16.02,14.4,13.94,13.27,15.17,18.09,0.131,0.12,0.119,0.119,0.119,0.119,0.118,0.119
